Address,ID(Google),Latitude,Longitude,Name,Price_Level(Google),Rating(Google),Zip
"427 W Kingsbury St, Seguin, TX 78155, USA",9d6795b53e0f7a0d8c81a855298e16fb3e1d1eed,29.5805014,-97.9694207,Rosie's Pizza To Go,0.0,4.1,78155
"594 N Hwy 123 Bypass, Seguin, TX 78155, USA",bd0c6f5d743f68f38a27c96b9b4f2a9d78df6fbf,29.564327,-97.9423351,Pizza Hut,1.0,3.3,78155
"1500 E Court St #126, Seguin, TX 78155, USA",dd2277d0168efc78c833cb75ae0285b0844e0b38,29.571681,-97.9397142,Little Caesars Pizza,1.0,3.4,78155
"1007 S Guadalupe St, Seguin, TX 78155, USA",58b8749cc2e7340e52f15ba0ce07d21b6270c517,29.5583594,-97.9690294,Domino's Pizza,1.0,3.4,78155
"1425 E Court St, Seguin, TX 78155, USA",bb1a85839e1812b5f5b65071b6b44d6b61d086bb,29.56807969999999,-97.9440079,Papa John's Pizza,0.0,3.5,78155
"3003 TX-123, Seguin, TX 78155, USA",d5378a9b7a3c246806c6ac135a007e755cd2da73,29.6024902,-97.95176939999999,Giuseppe's Italian Grill,0.0,4.3,78155
"330 N Hwy 123 Bypass, Seguin, TX 78155, USA",d14bc46fffe0e6b1f19c5ced46eebafcb6c5e848,29.5713987,-97.94147050000001,Schlotzsky's,2.0,3.9,78155
"890 Interstate 35 Frontage Rd, New Braunfels, TX 78130, USA",f588a9ebec2774d0992f6fd3a254c6250640ea2b,29.697636,-98.09828499999999,Pizza Hut,1.0,2.3,78130
"135 Creekside Way, New Braunfels, TX 78130, USA",095fadbf4ee73347025c74e77ed43b9318f1511c,29.731598,-98.073363,Pizza Hut Express,1.0,0.0,78130
"1006 E Kingsbury St, Seguin, TX 78155, USA",d2c42f884823d054749e4a1805aa6f886f8556de,29.5810121,-97.9522238,Pizza Hut,0.0,0.0,78155
